DateTime,AddedIPs,RemovedIPs
1512247536,256,256
1512249743,768,768
1512254735,256,256
1512262806,256,256
1512325983,1280,1280
1512335727,256,256
1512343390,512,512
1512350128,256,256
1512353728,256,256
1512380736,256,256
1512394018,1792,1792
1512398721,256,256
1512405929,256,256
1512422134,256,256
1512427533,256,256
1512429752,256,256
1512495004,2560,2560
1512497720,256,256
1512501774,256,256
1512503121,256,256
1512506728,768,768
1512515739,512,512
1512517532,256,256
1512521132,256,256
1512522934,256,256
1512528336,256,256
1512542734,256,256
1512581530,3072,3072
1512585005,256,256
1512587726,256,256
1512602124,256,256
1512609333,256,256
1512653220,1280,1280
1512668725,256,256
1512679528,256,256
1512688949,256,256
1512695742,256,256
1512739530,256,256
1512757832,1280,1280
1512765097,1280,1280
1512783004,1280,1280
1512801933,256,256
1512832534,256,256
1512837005,2560,2560
1512837920,256,256
1512840238,256,256
1512843329,256,256
1512846923,256,256
1512848723,256,256
1512852334,256,256
1512859526,256,256
1512866734,256,256
1512869004,256,256
1512891930,256,256
1512897340,256,256
1512915862,2048,2048
1512922527,256,256
1512924325,512,512
1512926124,256,256
1512933331,256,256
1512939608,256,256
1512954005,256,256
1512955427,256,256
1512967547,256,256
1512972943,256,256
1512974742,512,512
1513013088,1792,1792
1513025130,256,256
1513034133,256,256
1513041341,256,256
1513062005,256,256
1513062944,256,256
1513084543,256,256
1513100741,256,256
1513106147,256,256
1513106683,1536,1536
1513125933,256,256
1513211127,1792,1792
1513212317,512,512
1513214119,256,256
1513215923,256,256
1513227608,256,256
1513278923,256,256
1513301407,1024,1024
1513316715,256,256
1513320316,256,256
1513322114,256,256
1513329317,256,256
1513343720,256,256
1513363531,1024,1024
1513367118,1280,1280
1513373437,1280,1280
1513381513,256,256
1513387341,256,256
1513388711,256,256
1513408515,256,256
1513484347,1792,1792
1513485539,1280,1280
1513487793,256,256
1513488809,256,256
1513498508,256,256
1513512909,256,256
1513514711,512,512
1513538118,256,256
1513561516,256,256
1513604715,256,256
1513618207,768,768
1513625407,768,768
1513640716,256,256
1513646518,1024,1024
1513732894,1280,1280
1513734307,768,768
1513758162,2048,2048
1513760416,256,256
1513761705,768,768
1513763107,256,256
1513782908,256,256
1513788309,256,256
1513800909,256,256
1513905677,1024,1024
1513910715,256,256
1513914314,256,256
1513917914,256,256
1513921514,256,256
1513984967,1792,1792
1513986315,512,512
1513993517,768,768
1514013317,256,256
1514057005,256,256
1514078492,1536,1536
1514079916,512,512
1514083514,256,256
1514090713,256,256
1514159115,256,256
1514164955,1280,1280
1514167213,256,256
1514209506,256,256
1514211308,256,256
1514229311,256,256
1514241008,1280,1280
1514244117,1280,1280
1514251301,1280,1280
1514256306,256,256
1514258454,256,256
1514265308,256,256
1514284210,1536,1536
1514287260,256,256
1514301307,256,256
1514328309,256,256
1514424609,1024,1024
1514425509,256,256
1514510475,1024,1024
1514511909,1280,1280
1514513706,256,256
1514515509,1024,1024
1514533508,256,256
1514535307,256,256
1514539272,256,256
1514544308,256,256
1514546473,2048,2048
1514558706,256,256
1514640104,256,256
1514683304,768,768
1514708461,1024,1024
1514709912,256,256
1514712153,256,256
1514713511,256,256
1514715311,256,256
1514717109,256,256
1514719333,256,256
