DateTime,Entries,UniqueIPs
1512342187,79,79
1512364149,77,77
1512386215,76,76
1512408278,77,77
1512430366,87,87
1512452473,86,86
1512474491,84,84
1512497051,85,85
1512518923,84,84
1512541013,82,82
1512563091,79,79
1512584995,76,76
1512606978,72,72
1512629062,71,71
1512650926,70,70
1512673108,69,69
1512695333,75,75
1512717396,74,74
1512783171,71,71
1512805316,72,72
1512827332,72,72
1512849394,153,153
1512871502,154,154
1512915689,156,156
1512937968,157,157
1512959816,156,156
1512981869,155,155
1513003956,154,154
1513026256,144,144
1513048155,149,149
1513070188,148,148
1513114129,147,147
1513136205,148,148
1513158277,150,150
1513180117,151,151
1513202206,151,151
1513224282,152,152
1513257631,154,154
1513279474,155,155
1513301576,151,151
1513323624,150,150
1513345716,149,149
1513367834,150,150
1513389881,149,149
1513411990,150,150
1513434053,151,151
1513456124,69,69
1513477996,67,67
1513500022,69,69
1513521870,70,70
1513543959,67,67
1513588153,75,75
1513610005,81,81
1513632043,81,81
1513654104,77,77
1513675990,78,78
1513719898,81,81
1513741971,81,81
1513764101,80,80
1513808627,79,79
1513852614,78,78
1513874664,77,77
1513897349,77,77
1513919308,76,76
1513941420,75,75
1513985814,76,76
1514007883,74,74
1514117891,69,69
1514139868,68,68
1514161728,69,69
1514183896,64,64
1514205855,59,59
1514227965,59,59
1514249924,59,59
1514271882,62,62
1514315802,62,62
1514337768,58,58
1514359753,53,53
1514382045,59,59
1514404128,56,56
1514425980,57,57
1514491957,56,56
1514514026,57,57
1514535873,58,58
1514557791,59,59
1514602011,58,58
1514646161,59,59
1514689980,60,60
1514712099,61,61
